episode_id	arc	arc_number	description	length	date_released	text_file
42	The Eleventh Hour	2	What waits for our heroes on the other side of the time-stuck barrier? Seriously, what could be in there? A dragon made out of time? A parallel universe where people eat time like snack chips? A genuinely kind of innocuous, rustic town? Whatever it is, one thing’s for sure: There’s about to be some trouble in that bubble.	01:09:08	2016-06-16	taz_balance_42.txt
43	The Eleventh Hour	3	Our heroes start to get a hang of the difficult business of repetition as they learn more about Refuge and the events that led the town to such a sorry state. How much catastrophe can they undo in 60 minutes? Certainly they can’t make things worse — can they?	01:10:12	2016-06-29	taz_balance_43.txt
44	The Eleventh Hour	4	Our heroes explore an extremely deadly derelict mine in an attempt to find out what’s happening to Refuge every time the clock strikes noon. They do so with the usual amount of caution and grace, which is to say things go very, very, very poorly, very, very, very often.	01:13:20	2016-07-13	taz_balance_44.txt
45	The Eleventh Hour	5	Now that Refuge’s destroyer has been revealed, our heroes work together to discover a way to stop it. But how many more attempts will they get at solving this, their most deadly mystery yet?	01:03:54	2016-07-27	taz_balance_45.txt
46	The Eleventh Hour	6	If our boys want to get out of this time-locked quagmire, they’re going to need some divine intervention — and the only way to get this particular god to play ball is to get up to no good. Let’s hope that big wheel doesn’t stop turning on this rotation, yeah?	01:24:27	2016-08-10	taz_balance_46.txt
47	The Eleventh Hour	7	With a fairly rowdy loop behind them, our heroes come face-to-face with divinity, and try their darndest not to make complete asses of themselves. With the Big Clock winding down and their prize in sight, can Tres Horny Boys save the day — or, at least, one of the days?	01:10:28	2016-24-08	taz_balance_47.txt
48	The Eleventh Hour	8	Could you resist the power to go back and change your very worst mistake? What if it meant unraveling some of the non-mistakes you’ve made since? Also: Imagine, for the sake of this hypothetical, that you’re a complete goober.	01:15:04	2016-09-07	taz_balance_48.txt
49	The Eleventh Hour	9	Their prize secured, our heroes look to close out their final loop in Refuge by doing something unprecedented: They try to keep everyone in town from exploding, for once.	01:21:14	2016-09-21	taz_balance_49.txt
50	Lunar Interlude IV: The Calm Before the Storm	1	Our heroes have some well-earned free time between missions, although some of their sidequests are a bit more relaxing than others. Enjoy it while it lasts, fellas.	01:34:43	2016-10-05	taz_balance_50.txt
51	The Suffering Game	1	After a summer spent tirelessly training, our heroes are finally prepared to take on their next, harrowing mission. What horrors — or fortunes — await them in Wonderland? I mean, this arc is literally titled “The Suffering Game,” so you can probably piece it together yourself.	01:06:16	2016-10-19	taz_balance_51.txt
52	The Suffering Game	2	Our boys survived their first encounter in The Felicity Wilds — but will they survive the perils that await them inside of Wonderland? Or like, maybe it’s not so bad in there? No, I’m just goofin’. It’s pretty dang bad in there.	01:04:36	2016-11-16	taz_balance_52.txt
53	The Suffering Game	3	Wonderland has revealed itself as a genuinely unsafe place for our heroes to be. Can they make forward progress in a cyclical game designed to extract raw anguish from them? Can they reach their distant goal before they’ve sacrificed too much?	01:17:52	2016-12-15	taz_balance_53.txt
54	The Suffering Game	4	After Round One of The Suffering Game, our heroes aren’t doing too great — and with another turn of the Wheel ahead, the future’s not especially bright, either. Can they keep their heads up (and on) to power through?	01:03:09	2017-01-12	taz_balance_54.txt
55	The Suffering Game	5	Strange things are afoot in Wonderland as our heroes find themselves aided by an invisible accomplice — but will their secret plan pop off before the boys lose something precious to the Wheel?	01:08:50	2017-01-26	taz_balance_55.txt
56	The Suffering Game	6	Our heroes are forced to square off against their deadliest former foes — but their real challenge comes in the form of a danger the likes of which they’ve never experienced. Taako gets primal. Merle gets disconnected. Magnus gets a couple of helping hands.	01:02:24	2017-02-09	taz_balance_56.txt
57	The Suffering Game	7	Game Over. Taako makes some fashionable friends. Merle does some wordplay. Magnus remembers.	01:10:45	2017-02-23	taz_balance_57.txt
58	Lunar Interlude V: Reunion Tour	1	Our heroes’ party has just undergone a fairly shocking expansion. They’re now tasked with an infiltration mission that hits close to home. As the pieces move into place for the endgame, what do our heroes hope to find — and where do their allegiances lie?	01:14:35	2017-03-09	taz_balance_58.txt
59	Lunar Interlude V: Reunion Tour	2	Our heroes are out of time, out of options, out of places to hide. The holes in their history are starting to fill in; but are they going to like the answers they receive? We’re almost caught up, now.	01:45:03	2017-03-23	taz_balance_59.txt
60	The Stolen Century	1	We’re nearly at our journey’s end — but before we can truly understand what lies ahead, we must first return to this story’s true beginning. What brought our heroes together to the crisis they face today? What happened to the memories of their dear, forgotten friends? And just how long have they been running away?	01:34:51	2017-04-13	taz_balance_60.txt
61	The Stolen Century	2	Our heroes find themselves crossing between strange, deadly, beautiful worlds, pursued by a foe they cannot comprehend. Can they grow strong enough to defeat their cosmic enemy? Or will their journey take them down a road from which they can never return?	01:25:41	2017-04-26	taz_balance_61.txt
62	The Stolen Century	3	Our heroes have earned a break, don’t you think? Merle finds a place to settle down. Magnus keeps ’em on their toes. Taako dispenses some beach wisdom.	00:39:25	2017-05-04	taz_balance_62.txt
63	The Stolen Century	4	We’re fairly deep into our trip down memory lane, but our heroes are no closer to figuring out how to stop the ever-evolving force that’s pursuing them. With few other options, they’ll have to adopt a new, remarkably costly strategy.	01:29:13	2017-05-18	taz_balance_63.txt
64	The Stolen Century	5	Our heroes find themselves in a strange world where artists compete for national pride, submitting their works to a mountain that can make them known throughout the land. Can the team create satisfactory masterpieces before their year is up?	01:02:57	2017-06-01	taz_balance_64.txt
65	The Stolen Century	6	The Hunger pursues, and our heroes escape. They’ve been keeping up the chase for decades now, evading without fail. But the Hunger’s getting faster. The journey’s getting harder. The team must take drastic steps, just to stay afloat. We’re nearly caught up, now.	01:23:20	2017-06-15	taz_balance_65.txt
66	The Stolen Century	7	Our heroes’ long, forgotten journey comes to an end.	01:26:53	2017-06-29	taz_balance_66.txt
67	Story and Song: Finale	1	Our heroes’ memories have returned. At the end of everything, will they stand together against the encroaching darkness? Or will their past sins leave them irrevocably driven apart?	01:19:06	2017-07-13	taz_balance_67.txt
68	Story and Song: Finale	2	Two lights shine down from the sky. Their story passes through reality. His song fills their hearts. The world fights back.	01:59:55	2017-08-01	taz_balance_68.txt
69	Story and Song: Finale	3	Our heroes reach their journey’s end.	02:42:08	2017-08-17	taz_balance_69.txt
